host_id,host_verifications
71615,1
71615,2
71615,3
71615,4
71615,5
82522,1
82522,2
82522,3
82522,4
82522,6
82522,5
108310,1
108310,2
108310,3
108310,4
108310,6
108310,7
108310,5
108310,7
134698,1
134698,2
134698,3
136853,1
136853,2
136853,8
136853,3
136853,4
136853,6
136853,5
195624524,1
195624524,2
135703,1
135703,2
135703,8
135703,3
135703,4
135703,9
135703,5
135703,10
73163,1
73163,2
73163,3
73163,11
73163,4
73163,6
73163,5
73163,10
152232,1
152232,2
152232,3
152232,4
152232,6
152232,5
158596,1
158596,2
158596,8
158596,3
158596,11
158596,4
158596,5
177617,1
177617,2
177617,8
177617,3
177617,4
177617,5
177617,10
90417,1
90417,2
90417,3
90417,4
90417,6
90417,7
90417,5
90417,7
208154,1
208154,2
208154,3
208154,4
208154,6
208154,7
208154,5
208154,7
280070,2
280070,3
280070,4
280070,7
280070,5
280070,7
297545,1
297545,2
297545,3
297545,4
297545,6
297545,5
10531070,1
10531070,2
10531070,3
10531070,4
10531070,6
10531070,7
10531070,5
10531070,7
323105,1
323105,2
323105,8
323105,3
323105,4
323105,5
340570,1
340570,2
340570,3
340570,4
340570,5
353987,1
353987,2
353987,8
353987,3
353987,4
353987,6
353987,7
353987,5
266650,1
266650,2
266650,8
266650,3
266650,4
266650,5
266650,10
366428,1
366428,2
366428,3
366654,1
366654,2
366654,3
366654,4
366654,5
366654,10
375625,2
375625,8
375625,3
375625,4
375625,5
383697,1
383697,2
383697,3
383697,4
383697,5
383697,10
385249,1
385249,2
385249,3
385249,4
385249,6
385249,7
385249,5
385249,7
60054567,1
60054567,2
382031,1
382031,2
382031,8
382031,3
382031,4
700165,1
700165,2
700165,3
700165,4
700165,5
400154,1
400154,2
400154,3
400154,4
400154,6
400154,7
400154,5
400154,7
431839,1
431839,2
431839,8
431839,3
431839,4
431839,6
431839,7
431839,5
431839,7
95585,1
95585,2
95585,3
95585,4
95585,5
488117,1
488117,2
488117,3
488117,4
488117,5
488117,10
488151,1
488151,2
488151,3
488151,6
488151,7
488151,5
488151,7
497450,1
497450,2
497450,3
509260,1
509260,2
509260,3
509260,4
509260,5
664196,1
664196,2
664196,3
664196,4
664196,5
603336,1
603336,2
603336,8
603336,3
603336,6
603336,7
603336,5
603336,7
594334,1
594334,2
594334,8
594334,3
594334,4
594334,6
594334,7
594334,5
594334,7
615805,1
615805,2
615805,3
615805,11
615805,4
615805,6
615805,5
635253,1
635253,2
635253,8
635253,3
635253,4
635253,5
641496,1
641496,2
641496,8
641496,3
641496,4
641496,5
641496,10
666414,1
666414,2
666414,8
666414,3
610674,1
610674,2
610674,8
610674,3
610674,4
610674,6
610674,5
610674,10
711907,1
711907,2
711907,8
711907,3
742068,1
742068,2
742068,3
742068,4
742068,6
742068,5
474355,1
474355,2
474355,8
474355,3
474355,11
474355,4
474355,5
713364,1
713364,2
713364,3
713364,4
713364,7
713364,5
713364,7
859557,1
859557,2
859557,8
859557,3
859557,4
859557,6
859557,5
860071,1
860071,2
860071,8
860071,3
863772,1
863772,2
863772,8
863772,3
852032,1
852032,2
852032,8
852032,3
852032,4
852032,6
852032,5
180478,1
180478,2
180478,8
180478,3
180478,4
180478,6
180478,5
829660,1
829660,2
829660,3
829660,4
829660,6
829660,5
784341,1
784341,2
784341,8
784341,3
784341,4
784341,5
494228,1
494228,2
494228,3
494228,4
494228,6
494228,5
896554,1
896554,2
896554,3
896372,1
896372,2
896372,8
896372,3
896372,4
896372,5
896372,10
896690,1
896690,2
896690,8
896690,3
919480,1
919480,3
1817722,1
1817722,2
1817722,8
1817722,3
1817722,4
1817722,6
1817722,7
1817722,5
1817722,7
939590,1
939590,2
939590,8
939590,3
939590,11
939590,4
939590,6
939590,9
939590,7
939590,5
939590,7
939590,10
944355,1
944355,2
944355,8
944355,3
944355,4
944355,5
913807,1
913807,2
913807,3
953719,1
953719,2
953719,8
953719,3
953719,4
953719,6
953719,9
953719,5
632830,1
632830,2
632830,8
632830,3
632830,4
632830,6
632830,7
632830,5
971768,1
971768,2
971768,8
971768,3
971768,4
971768,5
971768,10
440825,1
440825,2
440825,8
440825,3
1013855,1
1013855,2
1013855,8
1013855,3
1013855,4
1013855,5
1013855,10
1014050,1
1014050,2
1014050,8
1014050,3
1014050,4
1014050,5
1014050,10
1027356,1
1027356,2
1027356,8
1027356,3
1027356,4
1027356,5
1033366,1
1033366,2
1033366,8
1033366,3
1033366,4
1033366,5
1100014,1
1100014,2
1100014,8
1100014,3
1100014,6
1100014,7
1100014,5
1100014,7
1614471,1
1614471,2
1614471,8
1614471,3
1037730,1
1037730,2
1037730,3
1037730,4
1037730,6
1037730,5
1110014,1
1110014,2
1110014,3
1110014,4
1110014,6
1110014,7
1110014,5
1110014,7
1130143,1
1130143,3
1130143,4
1130143,6
1130143,7
1130143,5
1130143,7
4369049,1
4369049,2
4369049,3
4369049,4
4369049,6
4369049,7
4369049,5
4369049,7
1224008,1
1224008,2
1224008,8
1224008,3
1224008,4
1224008,5
1227290,1
1227290,2
1227290,3
1227290,4
1227290,6
1227290,5
1228590,1
1228590,2
1228590,3
1228590,4
1228590,6
1228590,5
1201857,1
1201857,2
1201857,8
1201857,3
1201857,4
1201857,6
1201857,7
1201857,5
1201857,7
1201857,10
249351,1
249351,2
249351,8
249351,3
249351,4
249351,5
1255733,1
1255733,2
1255733,3
1255733,6
1255733,7
1255733,5
1257705,1
1257705,2
1257705,3
15884961,1
15884961,2
15884961,3
15884961,4
15884961,5
1310304,1
1310304,2
1310304,8
1310304,3
1310304,4
1310304,6
1310304,5
1310304,10
1298586,1
1298586,2
1298586,8
1298586,3
1298586,4
1298586,6
1298586,5
1348378,1
1348378,2
1348378,3
1348378,4
1348378,5
1350468,1
1350468,2
1350468,3
1350468,4
1350468,5
1352184,1
1352184,2
1352184,3
1352184,4
1352184,6
1352184,7
1352184,5
1352184,7
1363244,1
1363244,2
1363244,3
1363244,4
1363244,6
1363244,5
832875,1
832875,2
832875,8
832875,3
832875,4
832875,6
832875,5
1369675,1
1369675,2
1369675,8
1369675,3
1369675,4
1369675,7
1369675,5
1369675,7
1369675,10
1377744,1
1377744,2
1377744,8
1377744,3
1377744,4
1377744,6
1377744,5
1392322,1
1392322,2
1392322,8
1392322,3
1392322,4
1404293,1
1404293,2
1404293,8
1404293,3
1404293,4
1404293,6
1404293,7
1404293,5
1404293,7
1404293,10
1405013,1
1405013,2
1405013,3
1405013,4
1405013,6
1405013,7
1405013,5
1405013,7
1405013,10
1406951,1
1406951,2
1406951,12
1406951,3
1406951,11
1406951,4
1406951,5
1411775,1
1411775,2
1411775,3
1411775,4
1411775,6
1411775,7
1411775,5
1411775,7
1414100,1
