id,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
1,18666,1,1,6,1,2,4,1,75
2,18674,1,1,8,2,3,6,1,
3,21605,1,2,2,1,1,1,1,108
4,25786,1,2,2,1,1,1,1,
5,31377,1,2,2,1,1,2,1,
6,31380,1,2,3,1,1,2,1,161
7,31823,1,1,6,1,2,4,1,
8,31958,1,1,4,1,1,1,1,
9,26033978,1,1,6,2,3,6,1,
10,32471,1,1,5,1,3,3,1,
11,32711,1,1,6,1,2,7,1,700
12,32868,1,1,8,2,3,7,1,1940
13,34981,1,1,10,3,4,8,1,
14,35379,2,2,2,2,1,1,1,807
15,35388,2,2,1,2,1,1,1,807
16,35390,2,2,1,2,1,1,1,807
17,35392,2,2,2,2,1,1,1,807
18,36763,1,2,1,1,1,1,1,
19,40983,3,1,4,1,1,2,1,
20,46153,1,1,2,1,2,3,1,0
21,49213,1,2,2,1,1,1,1,
22,49968,1,1,6,1,2,7,1,
23,50066,1,1,9,1,3,7,1,
24,58512,1,1,6,2,3,4,1,
25,61444,1,1,6,1,2,4,1,646
26,6464311,1,2,3,2,1,1,2,
27,66037,1,1,6,2,2,3,1,
28,67065,1,1,7,2,4,7,1,1076
29,68547,1,2,2,2,1,2,1,
30,70099,2,2,4,1,1,3,1,16
31,70333,4,1,4,1,1,1,1,
32,71520,1,1,9,4,3,5,1,
33,71553,1,1,2,1,1,1,1,0
34,71603,1,1,3,2,1,4,1,
35,72436,5,1,2,1,1,1,3,
36,73455,1,1,5,1,2,4,1,
37,73643,1,1,6,1,3,5,1,861
38,73649,1,1,6,1,2,5,1,
39,11431221,1,2,1,1,1,1,1,
40,73683,1,1,12,2,4,14,1,
41,73692,1,1,5,1,2,3,1,646
42,73700,1,1,4,1,2,2,1,592
43,74562,1,2,2,1,1,1,1,
44,83283,1,2,2,1,1,1,1,0
45,75411,1,1,6,1,3,6,1,
46,80004,1,1,5,1,3,3,1,0
47,81291,1,1,5,2,2,2,1,
48,89756,1,1,9,1,3,7,1,
49,89776,1,1,4,1,1,2,1,
50,92425,4,1,2,1,2,3,1,
51,95719,1,2,2,1,1,1,1,50
52,97529,4,1,2,1,1,2,1,
53,135513,1,1,5,1,2,3,1,
54,119546,1,2,2,1,1,1,3,377
55,121210,1,2,2,1,1,1,1,0
56,126836,1,2,1,1,1,1,1,
57,128463,1,2,2,1,1,1,1,
58,130227,4,2,2,1,1,1,1,323
59,136043,3,2,2,1,1,2,1,
60,136670,1,2,2,1,1,1,1,
61,144471,1,2,2,1,1,1,1,
62,147275,1,2,1,1,1,1,1,
63,154281,3,2,2,1,1,1,1,0
64,154437,1,2,1,1,1,1,1,0
65,163448,1,1,8,2,3,6,1,
66,163490,1,1,6,1,2,4,1,861
67,171646,1,1,6,1,2,4,1,
68,173718,4,2,1,1,1,1,1,
69,179488,1,2,1,1,3,3,1,
70,179550,1,2,1,1,1,3,1,86
71,179619,1,2,2,1,1,1,1,
72,180293,2,2,2,2,2,1,1,100
73,181824,1,2,2,1,1,1,1,
74,184373,1,2,3,2,1,2,1,0
75,184516,1,2,2,1,1,1,1,
76,186221,1,2,1,0,1,1,1,0
77,186540,3,1,2,1,0,1,1,50
78,186542,1,2,2,1,1,1,1,
79,186598,1,2,2,1,1,1,1,
80,188267,1,1,5,2,3,5,1,0
81,190348,1,2,2,1,1,1,1,
82,191303,1,2,3,2,1,2,1,
83,359196,1,1,4,1,1,2,1,
84,193923,1,2,1,1,1,1,1,0
85,194460,1,2,2,1,1,1,1,0
86,195092,1,2,2,1,1,1,1,861
87,196021,1,1,8,3,4,6,1,0
88,197267,1,1,3,1,1,2,1,0
89,198958,1,1,8,2,4,6,1,
90,199422,1,1,6,1,2,4,1,
91,199794,1,2,2,2,1,1,1,
92,206122,1,1,4,1,2,2,1,
93,206167,1,1,2,1,1,1,1,
94,208684,1,2,2,1,1,1,1,
95,209673,1,1,3,1,2,2,1,
96,474387,1,1,11,2,5,11,1,2691
97,213368,4,2,3,1,1,1,1,
98,214970,1,2,2,1,1,1,1,
99,218503,1,2,1,1,1,1,1,
100,232400,1,1,2,2,1,2,1,538
101,233739,1,2,2,1,1,1,1,
102,234375,1,1,4,1,1,3,1,732
103,234567,1,1,5,1,2,3,1,0
104,237895,1,2,2,1,1,2,1,
105,239143,1,1,4,1,1,3,1,377
106,239492,2,2,3,1,1,3,1,
107,239821,1,1,8,1,3,6,1,
108,242335,1,1,4,1,3,4,1,70
109,243448,1,1,10,2,3,7,1,
110,250016,1,1,6,2,3,6,1,
111,252232,1,1,6,1,3,4,1,753
112,256628,3,2,1,1,1,1,1,
113,256677,1,2,2,1,1,1,1,
114,256982,1,2,3,0,1,2,1,
115,259852,1,2,2,1,1,1,1,
116,260073,1,2,2,1,1,1,1,0
117,261750,5,1,13,2,5,10,1,
118,264125,1,1,6,1,3,3,1,
119,265491,1,2,2,1,1,1,1,
120,267816,6,1,10,4,4,8,4,1615
121,268017,1,1,6,2,3,4,1,129
122,268022,1,1,6,2,3,3,1,
123,268417,1,2,2,1,1,1,1,
124,269467,3,1,3,1,0,1,1,
125,270050,1,2,2,1,1,1,1,129
126,271996,1,1,3,1,2,1,1,
127,272282,1,1,8,2,3,6,1,
128,273229,1,1,2,1,2,1,1,
129,273932,1,1,4,2,2,2,1,
130,274501,1,1,2,1,1,1,1,
131,275326,1,1,3,1,1,2,1,
132,21095463,5,2,1,1,1,1,1,
133,275336,5,1,6,2,3,4,1,
134,275346,5,1,6,2,3,0,1,
135,275350,5,1,5,2,3,0,1,
136,275889,5,1,4,1,1,1,1,
137,276324,1,1,4,1,2,4,1,
138,278036,1,2,3,2,1,2,1,
139,279439,1,2,7,2,3,4,1,
140,281978,1,2,3,2,1,2,1,129
141,281985,1,2,3,2,1,2,1,
142,282679,1,1,6,2,2,4,1,861
143,283231,1,1,4,1,1,2,1,
144,286105,1,2,2,1,0,2,1,
145,287294,6,1,6,2,3,3,1,
146,288034,1,1,4,1,1,2,1,
147,290035,1,2,1,2,1,1,1,
148,290592,1,1,6,1,3,3,1,
149,295200,3,1,3,1,0,2,1,0
150,297066,1,1,5,2,2,3,1,
151,302179,1,1,6,1,2,3,1,0
152,305213,1,1,2,1,1,1,1,
153,308166,1,1,6,1,3,2,1,
154,315769,1,1,6,1,2,3,1,
155,318865,1,1,2,1,1,1,1,
156,320506,1,1,2,1,1,1,1,646
157,324726,1,1,2,1,1,2,1,646
158,352686,1,2,2,1,1,1,1,
159,327133,1,2,2,2,1,1,1,
160,330248,1,2,2,1,1,1,1,129
161,330766,1,1,4,1,1,3,3,65
162,330957,1,1,5,1,3,4,1,969
163,333190,1,2,2,1,1,1,1,
164,335861,3,1,2,1,1,1,1,
165,337755,1,1,4,0,1,2,1,
166,957920,1,1,4,1,2,2,1,
167,343859,1,1,6,1,2,4,1,
168,343861,1,1,4,1,1,1,1,
169,343864,1,1,6,2,3,5,1,
170,343866,1,1,2,1,1,1,1,
171,346018,1,2,2,1,1,1,1,
172,348081,1,2,2,1,1,2,1,
173,351395,5,1,6,2,3,0,1,
174,352772,1,1,5,1,2,5,1,
175,353640,1,1,6,2,2,4,1,
176,357576,1,1,6,1,3,4,1,807
177,357958,1,2,2,1,1,2,1,
178,7047052,1,2,2,1,1,1,1,
179,359277,7,2,3,4,1,2,1,
180,359841,1,1,4,1,2,2,1,807
181,363601,1,1,2,1,1,1,1,
182,11997102,1,2,2,1,1,1,1,
183,364030,1,1,4,1,2,2,1,
184,365911,1,1,4,1,3,4,1,
185,370665,1,1,6,1,3,4,1,753
186,374491,1,2,4,1,1,3,1,
187,374561,1,2,2,1,1,1,1,
188,375961,1,1,4,1,1,2,1,538
189,377161,1,1,4,1,2,3,1,646
190,378998,8,2,3,1,1,2,1,75
191,380421,1,2,2,1,1,1,1,12
192,6653030,7,2,1,1,1,1,1,
193,382000,1,1,6,1,4,6,1,
194,384063,1,1,6,2,3,4,1,
195,384155,1,1,5,2,2,4,1,807
196,384464,1,1,2,1,1,1,1,
197,384867,1,2,2,1,1,1,1,
198,385049,7,1,6,2,3,6,1,
199,385728,1,2,2,1,1,1,2,
200,6690667,1,2,2,1,1,1,1,
201,393717,1,1,4,1,2,4,1,
202,394692,1,2,2,1,1,1,1,10
203,395050,1,1,2,1,1,1,1,
204,401481,1,2,3,1,1,2,1,1938
205,401990,1,2,3,1,1,2,1,0
206,402633,1,1,8,2,4,8,1,
207,402657,1,1,4,1,2,2,1,
208,408127,1,2,1,1,1,1,1,
209,408599,1,1,7,2,3,3,1,
210,410159,1,1,7,2,4,4,1,
211,412649,1,1,3,1,2,2,1,
212,414786,1,2,2,2,1,1,1,
213,415892,3,1,4,2,2,0,1,0
214,416704,1,2,2,1,1,2,1,
215,417239,1,1,5,1,2,2,1,
216,424137,9,2,6,1,2,3,1,
217,425639,7,1,8,3,4,8,1,
218,430585,9,2,6,1,2,3,1,55
219,6690671,1,2,2,1,1,2,1,
220,431054,1,1,4,1,1,2,1,
221,431331,1,1,2,1,2,2,1,0
222,432482,1,1,5,1,2,4,1,1292
223,437886,1,2,2,1,1,1,1,180
224,438102,1,2,1,2,1,1,1,
225,438123,1,2,5,1,1,3,1,
226,439057,1,1,6,2,2,3,1,
227,440427,1,1,6,1,2,4,1,
228,543342,1,1,4,1,2,2,1,
229,440619,1,2,2,1,1,1,1,
230,440840,1,2,5,2,2,3,1,172
231,440841,1,2,3,2,1,2,1,172
232,440996,1,1,3,1,2,3,1,
233,443909,1,2,2,1,1,1,1,
234,446665,1,2,2,1,1,1,1,0
235,446751,1,2,1,1,1,1,1,
236,449854,1,1,4,1,1,2,1,
237,451758,3,1,3,1,1,2,1,
238,455623,1,2,2,1,1,1,1,
239,456283,1,2,2,1,1,1,1,
240,456333,1,2,2,1,1,1,1,
241,457195,1,1,6,2,3,3,1,129
242,462012,10,2,2,1,1,2,1,0
243,462062,2,2,1,1,1,1,1,80
244,462118,1,1,7,2,2,2,1,
245,462332,1,2,1,2,1,1,1,86
246,462557,1,2,2,1,1,1,1,
247,463880,1,1,4,1,2,3,1,
248,469177,1,1,8,2,4,4,1,0
249,471669,7,2,2,1,1,1,1,
250,472062,5,1,4,1,2,3,1,
251,472779,1,1,6,1,2,3,1,
252,473395,5,1,5,2,2,3,1,
253,473459,5,1,5,2,2,3,1,
254,475771,1,1,3,2,2,3,1,
255,475786,1,2,1,2,1,1,1,75
256,477256,1,2,1,2,1,1,1,0
257,478173,1,1,8,2,4,5,1,0
258,478616,11,2,16,16,16,16,1,
259,478951,1,1,9,1,3,5,1,915
260,480975,3,2,3,1,1,2,1,
261,6690672,1,2,2,2,1,1,1,
262,481739,1,1,4,1,1,1,1,
263,484390,3,1,2,1,1,2,1,0
264,485011,1,2,2,2,1,1,1,215
265,487233,1,1,5,1,2,3,1,
266,21148703,7,2,1,1,1,1,1,
267,488341,1,2,1,1,1,1,3,
268,490517,1,1,5,1,2,2,1,
269,490803,1,1,6,1,2,4,1,
270,490853,1,2,2,1,1,1,1,0
271,493122,1,2,1,2,1,1,1,0
272,494834,1,1,4,1,1,2,1,
273,496997,1,1,6,2,3,5,1,0
274,497545,1,1,6,2,3,5,1,0
275,498632,1,1,5,1,3,4,1,
276,502436,1,1,4,2,2,2,1,
277,503765,1,1,4,2,2,3,1,
278,504653,7,2,2,1,1,2,1,
279,504860,1,2,2,1,1,1,1,
280,507667,1,2,2,2,1,1,1,
281,507972,1,1,8,3,4,4,1,0
282,508212,1,1,2,1,2,2,1,
283,508685,1,2,1,1,1,1,1,
284,510923,7,1,5,2,3,4,1,689
285,512625,1,2,2,1,1,1,1,0
286,512666,1,1,6,1,2,6,1,
287,512737,1,1,5,1,2,3,1,
288,513825,1,1,6,2,3,3,1,
289,514572,1,1,8,2,4,7,1,2153
290,515724,1,2,2,1,1,1,3,
291,516102,1,2,2,1,1,1,1,
292,516340,1,1,4,1,1,0,1,
293,517407,1,1,8,2,4,6,1,
294,518247,1,1,4,1,1,1,1,43
295,519566,1,2,2,1,1,1,1,0
296,519631,1,1,8,2,4,4,1,
297,520389,1,1,6,2,3,5,1,0
298,522705,1,1,4,1,2,3,1,
299,563971,1,1,4,1,1,2,1,
300,522987,1,2,2,1,1,1,1,0
301,526016,1,2,2,1,1,1,1,161
302,526094,1,2,1,1,1,1,1,
303,528979,1,2,2,1,1,1,1,1830
304,531195,1,1,12,2,5,9,1,
305,531851,1,1,12,4,6,10,1,0
306,534410,1,1,4,1,2,3,1,861
307,534550,1,1,10,2,3,7,1,
308,536470,1,1,4,1,3,3,1,
309,537176,1,1,6,1,2,4,1,753
310,539349,2,2,2,1,1,1,1,
311,543728,1,2,4,1,3,3,1,904
312,544995,12,1,6,2,3,3,1,
313,545207,1,2,2,1,1,1,1,
314,1005751,1,2,3,3,1,3,1,
315,548052,1,1,6,1,2,5,1,538
316,551378,1,1,10,2,4,8,1,
317,554299,1,1,4,1,1,1,1,
318,556255,1,2,3,3,1,1,1,0
319,556979,1,1,6,2,2,4,1,
320,557772,1,1,5,1,2,3,1,700
321,558366,1,2,1,1,1,1,1,
322,558549,1,2,3,2,1,2,1,
323,558651,1,1,8,2,3,7,1,
324,558886,1,1,5,2,3,4,1,
325,559930,1,2,3,1,1,2,1,
326,562169,1,2,4,1,2,2,1,
327,562807,1,1,6,1,3,5,1,861
328,563131,1,2,2,1,1,1,1,
329,564809,1,2,3,1,1,1,1,32
330,566869,1,1,3,1,1,1,1,
331,567855,3,2,2,1,1,1,1,
332,567962,1,1,3,1,1,2,1,
333,568129,1,2,2,2,1,1,1,
334,568185,1,2,2,2,1,1,1,
335,568432,1,2,3,1,1,2,1,
336,569527,1,1,4,1,0,2,1,0
337,569610,1,1,2,1,1,1,1,
338,572646,1,1,2,1,1,1,1,
339,572833,1,1,5,1,2,2,1,
340,575139,1,1,6,2,3,5,1,1500
341,575144,4,1,8,2,3,5,1,
342,576046,1,2,2,1,1,1,1,161
343,576383,7,2,3,1,1,3,1,
344,576550,1,1,4,2,3,6,1,0
345,576728,1,1,6,2,3,6,1,
346,577271,1,2,1,1,1,1,1,151
347,577865,1,2,2,1,1,1,1,
