id,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
18666,f,1,f,f
18674,f,2,f,f
21605,f,3,f,f
25786,f,2,t,t
31377,f,2,f,f
31380,f,2,f,f
31823,f,2,f,f
31958,f,2,f,f
26033978,f,1,f,f
32471,f,2,f,f
32711,f,1,f,f
32868,f,2,f,f
34981,f,2,f,f
35379,f,3,f,f
35388,f,3,f,f
35390,f,3,f,f
35392,f,3,f,f
36763,f,3,f,f
40983,f,2,t,t
46153,f,2,f,t
49213,f,2,f,f
49968,f,1,f,f
50066,f,1,f,f
58512,f,3,f,f
61444,f,3,f,f
6464311,f,2,f,f
66037,f,2,f,f
67065,f,2,f,f
68547,f,2,f,f
70099,f,3,f,f
70333,f,2,t,t
71520,f,2,f,f
71553,f,2,f,f
71603,f,2,f,f
72436,f,3,f,f
73455,f,2,f,t
73643,f,3,f,f
73649,f,3,f,f
11431221,f,1,f,f
73683,f,1,f,f
73692,f,3,f,f
73700,f,3,f,f
74562,f,2,t,t
83283,f,2,t,t
75411,f,2,f,f
80004,f,2,f,f
81291,f,3,t,f
89756,f,2,f,f
89776,f,2,f,f
92425,f,2,f,f
95719,f,2,f,f
97529,f,2,f,f
135513,f,2,f,f
119546,f,2,t,t
121210,f,3,f,f
126836,f,3,t,f
128463,f,2,t,t
130227,f,3,t,t
136043,f,2,f,f
136670,f,2,f,f
144471,f,2,t,t
147275,f,2,t,t
154281,f,1,f,f
154437,f,3,t,t
163448,f,2,f,t
163490,f,2,f,t
171646,f,2,f,f
173718,f,2,f,f
179488,f,3,f,f
179550,f,3,f,f
179619,f,1,f,f
180293,f,2,f,f
181824,f,3,t,f
184373,f,2,f,f
184516,f,2,f,f
186221,f,2,f,f
186540,f,3,f,f
186542,f,3,t,t
186598,f,3,f,f
188267,f,2,f,f
190348,f,1,f,f
191303,f,2,f,f
359196,f,2,f,f
193923,f,3,t,t
194460,f,3,f,f
195092,f,3,f,f
196021,f,2,f,f
197267,f,2,f,f
198958,f,1,f,f
199422,f,1,f,f
199794,f,2,f,f
206122,f,2,f,f
206167,f,3,f,f
208684,f,2,f,f
209673,f,2,f,f
474387,f,2,f,f
213368,f,2,f,t
214970,f,3,f,f
218503,f,3,t,t
232400,f,2,f,f
233739,f,3,t,t
234375,f,2,f,f
234567,f,2,f,f
237895,f,3,t,f
239143,f,3,f,f
239492,f,3,f,f
239821,f,2,f,f
242335,f,3,f,f
243448,f,2,f,f
250016,f,2,f,f
252232,f,2,f,f
256628,f,1,f,f
256677,f,2,f,f
256982,f,2,f,f
259852,f,3,t,t
260073,f,2,f,f
261750,f,3,f,f
264125,f,2,f,f
265491,f,3,f,f
267816,f,2,f,f
268017,f,2,f,t
268022,f,2,f,t
268417,f,1,f,f
269467,f,2,f,f
270050,f,2,f,f
271996,f,2,f,f
272282,f,2,f,f
273229,f,2,f,f
273932,f,2,f,f
274501,f,2,t,t
275326,f,2,t,t
21095463,f,2,f,f
275336,f,2,t,t
275346,f,2,t,t
275350,f,2,t,t
275889,f,2,t,t
276324,f,3,t,t
278036,f,2,f,f
279439,f,3,f,t
281978,f,2,f,f
281985,f,2,f,f
282679,f,2,f,f
283231,f,3,f,f
286105,f,3,f,f
287294,f,2,f,f
288034,f,2,f,f
290035,f,2,f,f
290592,f,2,f,f
295200,f,2,f,t
297066,f,2,f,f
302179,f,2,f,f
305213,f,2,t,t
308166,f,3,t,t
315769,f,2,f,f
318865,f,2,f,f
320506,f,2,f,f
324726,f,2,f,f
352686,f,3,f,f
327133,f,2,f,f
330248,f,3,f,f
330766,f,2,f,f
330957,f,2,f,f
333190,f,2,t,t
335861,f,3,f,f
337755,f,2,f,f
957920,f,1,f,t
343859,f,2,f,f
343861,f,2,f,f
343864,f,2,f,f
343866,f,2,f,f
346018,f,2,t,f
348081,f,3,f,t
351395,f,2,t,t
352772,f,3,f,f
353640,f,2,f,f
357576,f,3,f,f
357958,f,2,f,f
7047052,f,3,f,f
359277,f,2,f,f
359841,f,3,f,t
363601,f,2,f,f
11997102,f,1,f,f
364030,f,2,t,t
365911,f,3,f,f
370665,f,2,f,f
374491,f,2,f,f
374561,f,2,f,f
375961,f,2,f,f
377161,f,2,f,f
378998,f,1,f,f
380421,f,2,f,f
6653030,f,1,f,f
382000,f,3,f,f
384063,f,2,f,f
384155,f,3,f,f
384464,f,2,f,f
384867,f,2,f,t
385049,f,2,f,f
385728,f,2,f,f
6690667,f,1,f,f
393717,f,2,f,f
394692,f,2,f,t
395050,f,2,f,f
401481,f,2,t,t
401990,f,2,f,f
402633,f,2,f,f
402657,f,2,t,t
408127,f,2,f,f
408599,f,3,f,t
410159,f,2,f,f
412649,f,2,f,f
414786,f,2,f,f
415892,f,2,f,f
416704,f,2,t,t
417239,f,3,f,f
424137,f,3,f,f
425639,f,3,f,f
430585,f,3,f,f
6690671,f,1,f,f
431054,f,2,f,f
431331,f,1,f,f
432482,f,2,f,f
437886,f,2,t,t
438102,f,2,f,f
438123,f,2,f,f
439057,f,3,t,t
440427,f,2,f,f
543342,f,2,t,t
440619,f,2,f,f
440840,f,3,f,t
440841,f,1,f,t
440996,f,2,f,f
443909,f,2,f,f
446665,f,3,f,f
446751,f,2,t,f
449854,f,2,f,f
451758,f,3,f,f
455623,f,2,f,f
456283,f,3,f,f
456333,f,3,f,f
457195,f,3,f,t
462012,f,2,f,f
462062,f,3,f,f
462118,f,2,f,f
462332,f,3,f,f
462557,f,1,f,f
463880,f,2,t,f
469177,f,2,f,f
471669,f,3,f,f
472062,f,3,f,t
472779,f,2,f,f
473395,f,2,f,t
473459,f,3,f,t
475771,f,3,f,f
475786,f,2,f,f
477256,f,2,f,f
478173,f,2,f,f
478616,f,2,f,f
478951,f,1,f,f
480975,f,1,f,f
6690672,f,1,f,f
481739,f,2,f,f
484390,f,2,f,t
485011,f,1,f,f
487233,f,2,f,f
21148703,f,1,f,f
488341,f,1,f,f
490517,f,2,f,f
490803,f,2,f,f
490853,f,2,f,f
493122,f,2,f,f
494834,f,2,f,f
496997,f,2,f,f
497545,f,2,f,f
498632,f,2,f,f
502436,f,1,f,f
503765,f,3,f,f
504653,f,1,t,t
504860,f,1,t,t
507667,f,2,f,f
507972,f,2,f,f
508212,f,2,f,f
508685,f,1,t,t
510923,f,2,f,f
512625,f,2,f,f
512666,f,2,f,f
512737,f,2,f,f
513825,f,2,f,f
514572,f,3,f,f
515724,f,2,t,t
516102,f,3,f,t
516340,f,2,f,f
517407,f,2,f,f
518247,f,2,f,f
519566,f,3,f,f
519631,f,2,f,f
520389,f,2,f,f
522705,f,2,f,t
563971,f,2,f,f
522987,f,2,t,t
526016,f,3,f,f
526094,f,3,f,f
528979,f,1,f,f
531195,f,4,f,f
531851,f,2,f,f
534410,f,3,f,f
534550,f,4,f,f
536470,f,3,f,f
537176,f,2,f,f
539349,f,3,f,f
543728,f,2,t,t
544995,f,3,f,f
545207,f,3,t,t
1005751,f,1,t,t
548052,f,2,f,f
551378,f,3,f,f
554299,f,2,f,f
556255,f,3,t,t
556979,f,2,f,f
557772,f,3,f,f
558366,f,2,f,f
558549,f,2,f,f
558651,f,3,f,f
558886,f,2,f,f
559930,f,2,t,t
562169,f,3,f,t
562807,f,1,f,f
563131,f,2,f,f
564809,f,2,f,f
566869,f,3,t,f
567855,f,2,f,f
567962,f,1,f,f
568129,f,2,t,t
568185,f,2,t,t
568432,f,3,f,f
569527,f,5,f,f
569610,f,2,t,t
572646,f,2,f,t
572833,f,2,f,t
575139,f,2,f,f
575144,f,2,f,f
576046,f,3,f,f
576383,f,2,f,f
576550,f,2,f,f
576728,f,2,f,f
577271,f,3,t,f
577865,f,3,f,f
578180,f,3,f,f
578558,f,3,t,t
582364,f,3,f,f
584348,f,2,f,f
585762,f,3,f,t
587203,f,2,f,f
588268,f,3,f,f
588996,f,2,f,f
590503,f,2,f,f
590991,f,2,t,t
594235,f,2,f,f
594580,f,2,f,f
594965,f,2,f,t
596148,f,2,f,f
597715,f,2,f,f
598329,f,2,f,f
600162,f,3,f,f
602187,f,3,f,f
602284,f,2,f,f
605186,f,2,f,f
610868,f,2,f,f
611366,f,1,f,f
617561,f,1,f,f
619775,f,3,f,f
621656,f,2,f,t
625716,f,3,f,f
626043,f,2,f,f
627394,f,1,f,f
630566,f,3,f,f
631119,f,2,f,f
632818,f,1,f,f
634786,f,2,f,f
635339,f,2,f,f
636702,f,2,f,f
637232,f,2,f,f
638009,f,3,f,f
