id,listing_id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
1,18666,$130.00,,,$150.00,$42.00,2,$25.00
2,18674,$60.00,,,$150.00,$50.00,2,$30.00
3,21605,$33.00,,,$100.00,,1,$10.00
4,25786,$31.00,,,,,1,$31.00
5,31377,$42.00,,,,,2,$5.00
6,31380,$53.00,,,,,3,$10.00
7,31823,$70.00,,,$200.00,$65.00,6,$0.00
8,31958,$65.00,,,$200.00,$55.00,2,$10.00
9,26033978,$84.00,,,"$3,000.00",$150.00,1,$0.00
10,32471,$90.00,,,$200.00,$100.00,2,$10.00
11,32711,$140.00,,,$200.00,$75.00,4,$20.00
12,32868,$100.00,,,$400.00,$100.00,8,$0.00
13,34981,$500.00,"$1,900.00","$4,500.00",$200.00,$80.00,8,$10.00
14,35379,$40.00,,,$0.00,$5.00,1,$5.00
15,35388,$30.00,,,$0.00,$5.00,1,$0.00
16,35390,$30.00,,,$0.00,$5.00,1,$0.00
17,35392,$45.00,,,$0.00,$5.00,1,$5.00
18,36763,$29.00,$200.00,$750.00,$0.00,$15.00,1,$0.00
19,40983,$95.00,$609.00,"$1,900.00",$150.00,$59.00,2,$10.00
20,46153,$43.00,,"$1,050.00","$1,000.00",$70.00,2,$0.00
21,49213,$35.00,,,$0.00,$15.00,1,$17.00
22,49968,$140.00,,,$200.00,$75.00,4,$20.00
23,50066,$180.00,,,$200.00,$75.00,6,$15.00
24,58512,$79.00,,,$0.00,$80.00,6,$0.00
25,61444,$105.00,,"$1,800.00",$75.00,$55.00,2,$15.00
26,6464311,$30.00,,,$100.00,$10.00,2,$10.00
27,66037,$150.00,$800.00,,$250.00,$50.00,1,$10.00
28,67065,$85.00,,"$2,349.00",$200.00,$90.00,7,$0.00
29,68547,$47.00,$300.00,,$400.00,$30.00,1,$40.00
30,70099,$44.00,$320.00,$960.00,$0.00,$12.00,1,$22.00
31,70333,$90.00,,"$1,600.00",$500.00,,2,$0.00
32,71520,$250.00,,,$300.00,$0.00,6,$20.00
33,71553,$110.00,,,$200.00,$45.00,1,$0.00
34,71603,$390.00,,,$400.00,$75.00,2,$0.00
35,72436,"$1,000.00",,,$500.00,,2,$15.00
36,73455,$148.00,,,$220.00,$44.00,1,$0.00
37,73643,$189.00,,,,,1,$0.00
38,73649,$170.00,$740.00,"$2,600.00",,,1,$0.00
39,11431221,$75.00,,,,,1,$0.00
40,73683,$300.00,,,$300.00,$150.00,8,$20.00
41,73692,$105.00,,"$1,800.00",$75.00,$55.00,2,$15.00
42,73700,$65.00,,"$1,100.00",$75.00,$55.00,2,$15.00
43,74562,$60.00,$420.00,"$1,500.00",$100.00,$30.00,2,$15.00
44,83283,$48.00,,,$100.00,$5.00,1,$0.00
45,75411,$125.00,,"$2,000.00",$200.00,$50.00,6,$10.00
46,80004,$107.00,$599.00,"$2,400.00",$150.00,,2,$10.00
47,81291,$139.00,,,$250.00,$60.00,2,$20.00
48,89756,$350.00,"$1,650.00",,$200.00,$75.00,8,$20.00
49,89776,$65.00,,,$450.00,$50.00,2,$35.00
50,92425,$43.00,,,"$1,500.00",$50.00,1,$0.00
51,95719,$53.00,,,$0.00,$12.00,2,$0.00
52,97529,$40.00,,"$1,200.00","$1,200.00",$40.00,2,$0.00
53,135513,$80.00,,,$250.00,$60.00,2,$25.00
54,119546,$59.00,$560.00,,$150.00,$10.00,1,$20.00
55,121210,$51.00,$315.00,"$1,000.00",$0.00,$0.00,1,$9.00
56,126836,$27.00,,,$100.00,$15.00,1,$0.00
57,128463,$36.00,,,$84.00,$20.00,1,$33.00
58,130227,$33.00,,,$200.00,$35.00,1,$10.00
59,136043,$60.00,$250.00,$700.00,$200.00,$0.00,2,$50.00
60,136670,$35.00,,,$150.00,$15.00,1,$10.00
