listing_id,listing_name
2015,"Berlin-Mitte Value! Quiet courtyard/very central"
3176,"Fabulous Flat in great Location"
3309,"BerlinSpot Schöneberg near KaDeWe"
7071,"BrightRoom with sunny greenview!"
9991,"Geourgeous flat - outstanding views"
14325,"Apartment in Prenzlauer Berg"
16401,"APARTMENT TO RENT"
16644,"In the Heart of Berlin - Kreuzberg"
17409,"Downtown Above The Roofs In Berlin"
18666,"Flat with Sunny Terrace"
18674,"Huge flat for 8 people close to Sagrada Familia"
19864,"PLAZA MAYOR  (wifi, air conditioning)"
20858,"Designer Loft in Berlin Mitte"
21605,"Nice and sunny duble room"
21853,"Bright and airy room"
21869,"Studio in the Heart of Kreuzberg"
22415,"Stylishly furnished 3 room flat"
22677,"Prenzel garden with leafy terrace"
23834,"Apartment in the heart of Berlin"
24569,"Sunny & Wheelchair accessible"
24805,"Gran Via Studio Madrid"
24836,"Select the Madrid more "cool"."
25786,"NICE ROOM AVAILABLE IN THE HEART OF GRACIA"
26543,"Helmholtzplatz Bright&Spacious Apt."
26823,"Roon for two people"
26825,"Single Room whith private Bathroom"
28156,"Beautiful apartment in Prenzlauer Berg"
28268,"Cozy Berlin Friedrichshain for1/6 p"
29279,"Quiet 2 rooms next Helmholtzplatz"
30295,"PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG"
30320,"Great Vacational Apartments"
30711,"Sunny bedroom in Madrid centertown"
30924,"B & B in MADRID!!! "
30959,"Beautiful loft in Madrid Center"
31377,"Room for 2,  Sagrada Famili"
31380,"Room for 2-3. Barcelona, Sagrada Famili"
31440,"Nice Room in Prenzlauerberg,"
31823,"Aribau, Friendly Rentals"
31958,"Gaudi Attic 1, Friendly Rentals"
32471,"Gaudi Attic 2, Friendly Rentals"
32711,"Sagrada Familia area - Còrsega 1"
32868,"Sant Joan 4, Friendly Rentals"
33043,"Central Bright Bellevue Free Parking WIFI 4G"
34981,"VIDRE HOME PLAZA REAL on LAS RAMBLAS"
35379,"Double 02 CasanovaRooms Barcelona"
35388,"Single 01 CasanovaRooms Barcelona"
35390,"Single 02 CasanovaRooms Barcelona"
35392,"Double 01 CasanovaRooms Barcelona"
36480,"ChimaysaberlinB&B Single Bedroom"
36763,"In front of the beach"
37004,"WONDERFUL ROOM for longer stays Berlin Central"
37052,"QUIET n SUNNY FLAT in MITTE/PBERG"
37836,"Weekend in Berlin Party Center - II"
38074,"3 months min stay in the heart of Prenzlauer Berg!"
38296,"nice apartment to rent in Neukölln in September!"
40600,"room-artist loft berlin kreuzberg "
40718,"COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA"
40916,"Holiday Apartment Madrid Center"
40983,"Classical loft close to pedrera!"
41217,"Beautiful room in Prenzlauer Berg"
41306,"Schöner Altbau, 6 min zum Alexanderpatz."
42742,"Spacious 35m2 in Central Apartment"
42809,"The Berlin Artist Apartment."
43123,"Lux Berlin 1: boutique & design"
44083,"Riverside View Apartment"
44423,"Lovely accommodation in Berlin"
46153,"CHIC BORN, APARTMENT, GREAT LOCATION , FREE WIFI"
46161,"Design-Room in Mitte/PrenzlauerBerg"
46172,"Chic Loft By Kastanienallee"
47938,"Lovely 2 BR flat in Prenzlauer Berg"
49213,"Descalzos en el parque, relaxing and  cool room"
49968,"Sagrada Familia area - Còrsega 2"
50066,"Sagrada Familia area - Sardenya 1"
54952,"Riverfront Panorama"
55455,"Panorama Apartment Berlin Centre"
55853,Hauptstadt-Domizil
57049,"130 sqm with a view on Mauer Park"
57209,"Top apartment in Mitte-Arkonaplatz"
57792,"Bungalow mit Garten in Berlin Zehlendorf"
58041,"Apt. in a historic ambience+Wifi from 18.11.2018"
58512,"Stylish & cozy 3bed near Sagrada Familia"
58780,"light quiet beautiful 4 room flat"
59249,"Lux Berlin 2: luxury & design "
59923,"Habitación para féminas en el centro de Madrid"
60161,"House at the water"
61444,"Bright apartment - Rambla Catalunya (HUTB-005863)"
62423,"MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID"
63052,"Beautiful, quiet, clean & central."
63468,"Ferienwohnung Kreuzberg"
64245,"Room in great area Prenzlauer Berg"
64590,"Great apt. directly on the canal!"
66037,"Great apartment in  en el Born"
67065,"Londres, Friendly Rentals"
68142,"Cute sunny room in Friedrichshain"
68448,"Spacious & quiet apt near Mauerpark"
68547,"two beds with private shower 30% off"
70059,"PLAZA ESPAÑA/Wifi/ downtown /parking. Cozy, Bright"
70099,"Room with a View, Bcn City Center"
70310,"Cozy, Quiet & Sunny Apartment Heart of Malasaña"
70315,"Superbly located 2 bedrooms 2 balconies"
70316,"Superbly located Monthly rental Bills Incl."
70333,"Stylish+cozy home/parking/CCIB/WIFI"
71520,"Charming apartment with fantastic views!"
71553,"Black Friday PROMOTIONS, apt with terrace!"
71603,"MODERNIST PENTHOUSE. 1bedroom apt with terrace"
72079,"Italian Design at Kudamm ,WiFi DSL free"
72150,"Attic Duplex Flat with Terrace-Wifi"
72436,"Lugaris Beach Business Apartment"
72955,"Madrid Apartment Prado Museum"
73302,"Penthouse-Loft  Berlin-Schöneberg"
73455,"RAMBLAS ORCHID2 FAMILY APARTMENT"
73643,"Salva B1 - VivoBarcelona Apts."
73649,"PB1 - great terrace and little pool"
73683,"Sagrada Familia area for 12 people"
73692,"Rustic apartment : Rambla Catalunya (HUTB-005863)"
73700,"Centrally located budget apartment (HUTB-005832)"
74352,"Cozy apartment of 75 m2 "
74562,"Cute Suite near the MACBA"
74614,"City apartment in Prenzlauer Berg"
75411,"Sagrada Familia Clot Patio"
75609,"Estudio Museo Dino"
80004,"Parc Montjuic HUTB (Phone number hidden by Airbnb)"
80843,"Berlin City Studio Apt."
81049,"Lux.2BR Apart.BerlinMitte Lic. 01/Z/ZA/ (Phone number hidden by Airbnb)"
81081,"Beautiful Prenzlauer Berg Apt"
81291,"Sunny attic with pool and terrace near the beach!"
82481,"Retiro Park, Stay at cosy studio "
82893,"Apartment 2 Mitte"
83183,"Garden Apartment-Prenzlauer Berg"
83283,"★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi"
83614,"Spacious & Elegant Flat, 2 bathrooms, full kitchen"
84719,"Cool Apart. (10min Center + WIFI)"
85560,"Apartment 1 in Berlin"
86042,"Attic Flat with Terrace - WiFi"
86514,"Sunny room, Kreuzberg "
87549,"Independent room in green Kreuzberg"
89102,"Bright loft in the Kastanienallee"
89756,"BCN-RENTALS RAMBLA 1, just 7-10 min to Ramblas"
89776,"Modernist flat Downtown Casa Estapé | Barcelona"
89954,"Amazing apt in the historic center"
91290,"Gardenside flat for 2-3 guests"
92425,"PLAZA CATALUNYA CENTRAL TWO BEDROOM APARTMENT"
92920,"Bedroom in Chueca Madrid"
93100,"*** MALASAÑA B&B ***"
95719,"Lovely room to rent in El Gotico"
96072," Room for rent in Madrid"
97529,"CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT"
101507,"NICE FLAT IN THE CENTER OF MADRID"
102040,"Nice Single Room with wifi."
102194,"CHIC APARTMENT CHUECA WiFi & AC"
102882,"STORAGE APARTMENT URBAN"
103541,"CENTRAL AND COMFORT APTO. W/PARKING"
106290,"GREAT apartment in BERLIN-KREUZBERG"
106331,"Beautiful flat in Prenzlauer Berg"
109369,"RENT ROOM FOR DAYS"
109658,"Spacious Studio Apartment in Berlin"
111579,"IN THE CENTER OF BERLIN....."
112650,"Madrid center 2 rooms 4 people"
114763,"In the heart of Berlin!"
114854,"NICE CENTRAL TOURISM-BUSINESS APTO"
115576,"Bed and Garden"
116832,"Clean & Spacious Kreuzberg Apt"
117649,"F43 - your base for Berlin"
117919,"Huge, perfect location, AC...!!"
119389,"Madrid Apartment Latina"
119546,"BCN HUGEROOM DTOWN PRIVATE BATHROOM."
120293,"ROOM IN THE CENTER -LA LATINA- WIFI"
120762,"SHINY ROOM in DOWNTOWN / MALASAÑA!!"
121210,"BIG ROOM IN THE CITY CENTER,NEAR THE BEACH!"
121888,"private, calm but very central"
123864,"LOVELY STUDIO IN OLD TOWN-A/C-WIFI"
125349,"Cottage Berlin-Friedrichshagen"
126836,"Cozy bedroom next to Old Harbor"
127708,"Design Jewel in the midst of MITTE!"
127819,"140 m2 Architect flat center Madrid"
128463,"Private Suite in residential area!!"
128827,"Gorgeous Home in the City's Heart"
130227,"Spacious Room with Pool and Terrace"
132428,"Habitacion en Anton Martin"
135151,"habitacion individual"
135513,"APARTMENT AT RAMBLA POBLE NOU AND BEACH"
136043,"Twin room (2 people only) in Quirky central flat"
136058,"Calm, affordable room in Madrid."
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis"
143605,"" Berlin Fuffa's 40m2  apartment ""
144471,"★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI"
145249,"Private Wing of Penthouse - Terrace"
147275,"1 Room INDIVIDUAL in Barcelona"
147946,"1-room-flat in Prenzlauer Berg/WIFI"
149849,"Cosy room in Mitte/Rosenthaler pl."
150123,"LOFT ELOISA"
151249,"Quiet, Terrasse, cats, baby equiped"
151644,"Paradise 77...."
153015,"Central Artist Appartement Prenzlauer Berg"
154224,"NICE FLAT SANTA ANA.45m2 WIFI (A)"
154281,"Nice bedroom in a Loft, El Raval"
154437,"Charming room  Diagonal wifi 100 Mb"
155048,"Great 76 qm apartment, 2 balconies"
156010,"TWO ROOM APARTMENT ALEXANDERPLATZ "
157546,"Facing the canal, Paul Lincke Ufer"
157839,"room in typical berlin-style apt."
158890,"Loft Appartment in Berlin Kreuzberg"
159454,"Bright, Charming and Modern Altbau"
161425,"Cozy Apartment Gauystraße near Schönhauser Allee"
163429,"Centrical loft in Madrid (Chamberi)"
163448,"Montly rentals Barcelona for groups"
163490,"AMAZING LUXURY 2Bd, PLAZA CATALUÑA!"
166564,"feel at home | near Prado Museum"
