accommodates,listing_id
1,19158037
1,179488
1,17468995
1,864681
1,937425
2,23085336
2,190348
2,286105
2,19160918
2,19169621
3,19225011
3,23106926
3,27217760
3,23129073
3,23248377
4,23082151
4,27270599
4,359196
4,27270639
4,27382734
5,27270673
5,23302498
5,1790446
5,23336049
5,23647967
6,27619849
6,23176584
6,23229022
6,23248824
6,23465480
7,27978908
7,21201191
7,26094447
7,22242267
7,23831246
8,23405151
8,19475082
8,23482216
8,3108648
8,3108830
9,23853035
9,751527
9,71520
9,6970615
9,13651387
10,29721020
10,60161
10,29148829
10,9584066
10,21075047
11,11343804
11,16237757
11,16252509
11,13868134
11,16183489
12,27044028
12,9488554
12,10133140
12,10784053
12,18171621
13,23694336
13,22694811
13,25437138
13,22449147
13,6431465
14,19147659
14,23781693
14,21601526
14,9536912
14,20969056
15,22673624
15,7560506
15,9194127
15,14588206
15,354033
16,478616
16,28297452
16,8734083
16,29149892
16,11384240
